	S5	S6	S7	S8	S13	S14	S15	S16	S21	S22	S23	S24
PENG0000000205	0	0	1	1	0	5	0	1	0	1	6	5
PENG0000000206	146	237	122	202	117	341	142	154	236	200	140	195
PENG0000000207	1608	800	1121	909	1597	916	1168	615	1229	677	916	1162
PENG0000000208	0	1	0	0	0	0	0	0	0	0	0	0
PENG0000000209	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000210	0	0	0	1	0	0	0	0	0	0	0	0
PENG0000000211	1	1	0	13	0	0	6	3	2	1	2	24
PENG0000000212	0	0	4	1	0	0	5	1	0	6	1	6
PENG0000000213	1	0	0	0	1	0	0	0	0	0	0	0
PENG0000000214	23	31	8	36	4	35	10	24	16	31	17	34
PENG0000000215	911	729	1157	676	900	1314	1228	517	857	484	1141	858
PENG0000000216	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000217	4446	7562	4107	8650	4830	3024	4995	15862	4019	5251	3671	5832
PENG0000000218	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000219	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000220	3	1	0	0	4	0	0	0	2	0	1	3
PENG0000000221	1609	1508	2231	2438	1632	1274	2207	2330	1421	1117	2055	2614
PENG0000000222	2162	1769	1856	1564	2087	1150	2252	1215	2118	1162	2218	1690
PENG0000000223	111	92	140	229	107	22	155	433	108	88	149	180
PENG0000000224	3	1	1	2	5	0	2	3	9	0	1	0
PENG0000000225	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000226	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000227	5822	7763	4388	6750	6718	6513	4618	10642	5936	5829	4193	6615
PENG0000000228	2	0	0	0	0	0	0	0	0	0	0	0
PENG0000000229	94	91	195	141	128	98	216	105	114	78	216	138
PENG0000000230	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000231	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000232	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000233	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000234	3	0	1	0	0	0	0	0	0	2	0	0
PENG0000000235	4841	6972	5892	7568	4513	2099	8370	9319	4804	4851	6426	4956
PENG0000000236	1890	580	319	413	2186	277	369	407	2110	456	276	291
PENG0000000237	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000238	5	5	17	8	3	4	21	16	19	1	46	6
PENG0000000239	120	386	135	262	140	189	126	549	145	236	95	307
PENG0000000240	0	0	0	0	0	0	0	0	0	0	0	0
PENG0000000241	0	0	0	0	0	0	0	0	0	0	0	0
